index,discriptions,mapped_rating
0, dung dc sp tot cam on shop đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời ,0
1,  chất lượng sản phẩm tuyệt vời   son mịn nhưng khi đánh lên không như màu trên ảnh ,0
2,  chất lượng sản phẩm tuyệt vời nhưng k có hộp k có dây giày đen k có tất ,0
3,     mình hơi thất vọng  chút vì mình đã kỳ vọng cuốn sách khá nhiều hi vọng nó sẽ nói về việc học tập của cách sinh viên trường harvard ra sao những nỗ lực của họ như thế nào h sáng  tại sao họ lại phải thức dậy vào thời khắc đấy  sau đó là cả một câu chuyện ra sao  cái mình thực sự cần ở đây là câu chuyện ẩn dấu trong đó để tự bản thân mỗi người cảm nhận và đi sâu vào lòng người hơn  còn cuốn sách này chỉ đơn thuần là cuốn sách dạy kĩ năng mà hầu như sách nào cũng đã có  buồn    ,1
4, lần trước mình mua áo gió màu hồng rất ok mà đợt này lại giao  cái áo gió chất khác như vải mưa ý     ,1
5,  chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền ,0
6, đã nhận đc hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi     đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt ,0
7, các siêu phẩm thấy cấu hình toàn tựa tựa nhau   không còn sự đột phá lớn nữa  chỉ là nâng cấp  khác nhau về kiểu dáng  htc này vs giá trên thật lòng khó cạnh tranh mạnh vs siêu phẩm khác  chỉ dành cho fan của họ thôi  ,1
8, hàng ship nhanh  chất lượng tốt  tư vấn nhiệt tình ship rất đung size sẽ ủng hộ shop nhìu ❤️ ,0
9, đồng hồ đẹp nhưng  cái đứt dây   cái k chạy  mua ve phải sửa ,1
10,  chất lượng sản phẩm tuyệt vời y hình chụp đáng tiền  ,0
11, hjhj shop giao hàng nhanh quá  đẹp lắm ạ bé nhà m rất thích ,0
13, đóng gói rất đẹp  chất lượng sản phẩm rất tốt  chất lượng sản phẩm tuyệt vời ,0
14, săn đc với giá k  toẹt vời ,0
16, giao thiếu mình cái này rồi shop ơi t t ,1
17, chất lượng sản phẩm tuyệt vời tôi rất thích ,0
18, giày đẹp lắm có điều dây hơi ngắn tí ạ  chất lượng sản phẩm tuyệt vời ,0
19, yếm vải đẹp nhưng ít mẫu đẹp ,0
20,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền rất đáng tiền  giao hàng hôm sau là có ,0
21, không hài lòng sản phẩm cho lắm  giặt lan đầu tiên da nhoe màu hết rồi  ,1
22, giao hàng nhanh  mặc đẹp cám ơn shop ,0
23,  chất lượng sản phẩm tuyệt vời bao bì cute phô mai que son đánh mịn cực không có bị bột à còn giao hành max nhanh luôn ,0
24, đồng hồ thì đẹp thật  nhưng tại sao kim lúc chạy lúc đứng  nhắn tin thì  không trả lời  mấy bạn lưu ý đừng mua nữa   ,1
25, giao hàng siêu nhanh  đóng gói cẩn thận và tư vấn nhiệt tình  hạt điều thấm vị và giòn   ,0
26,  cũng hơi bất tiện xu thế này e rằng đa phằn người dùng sẽ không ưa thích  ,1
27, toàn hàng trungkhi mua quên  không coi kĩ ,1
28,  đóng gói sản phẩm rất đẹp và chắc chắn  được shop tặng thêm quà nữa 😘 ,0
29, hôm nay chiên thử cá hồi  cá chiên ăn ngọt hơn chiên kiểu truyền thống vì giữ đc nước   chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn ,0
30,  máy này có cái cpu k phải skylake là thấy không hay rồi  ,1
31, hàng vận chuyển bị nứt mẻ  góc chất lượng ok  ,0
32, sạc tự động ngắt pin ,1
33, shop giao hàng  không giống màu ,1
34, shop giao sai màu đặt màu xanh da trời shop giao màu nõn chuối  đặc biệt sản phẩm đã sai màu còn bị vỡ phần nắp và chốt  không sd được  chat shop  không tl đến lúc khách nhấn hoàn hàng mới tl sơ sài và  không đồng ý hoàn  rất thất vọng về cách làm việc của shop  may mà shope lấy lại công bằng và hoàn tiền   ,1
36, so với giá thì chất lượng tuyệt vời  capo khá chắc chắn và đẹp ,0
37, không cầm pin  không sử dụng được  chất lượng sản phẩm rất kém ,1
38, những nước phát triển hàng trăm năm cũng không ai làm tầng ngầm dưới đường cao tốc cả   xe điện ngầm ra ngoại ô cũng thành nổi để tiết kiệm chi phí   ,1
39,  shop phục vụ rất tốt    thời gian giao hàng rất nhanh ,0
40, sản phẩm tốt hỗ trợ khách hàng nhiệt tình ,0
41, giày đẹp mang êm và vừa chân lắm nha shop  ,0
42, chất liệu và kiểu dáng thì được nhưng quần hơi ngắn ,1
43, hàng bị lỗi nhiều quá màn hình cháy phim bị bong ,1
44,  chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh ngon sẽ ủng hộ shop dài dài    ,0
45, chưa dùng nhưng nghe bạn m dùng r fb chất lượng khá tốt serum thơm mùu bưởi  có  góp ý là shop nên thay lọ đựng sang loại khác vì bọn m mua nhiều lần thấy hầu hết các lọ vòi xịt đều k ổn  ,0
46, uống rất ngon giao hàng nhanh chất lượng sản phẩm tuyệt vời                      😋😋😋😋                       ,0
47, shop bảo làm theo yêu cầu theo yêu cầu là phải có cao su chống trượt mà không theo yêu cầu thôi nhịn đắng cục tức vậy  các bạn mua nên chú ý sẵn không lại ngậm cục tức như mình di bị rơi mấy lần lại lôi kê tay cũ ra xài ,1
48, rẻ lầm chất lượng lém ,0
49, huỷ trước khi shop giao cho ship để đổi màu mà shop k nhận đơn huỷ vẫn cố giao  ,1
50,  đóng gói sản phẩm rất kémtư vấn k nhiệt tình ,1
51, sản phẩm tốt ưng ý  ,0
